hotel_class,name,id,locality,region
2.5,Comfort Suites NW Lakeline,109006,Austin,TX
2.8850684495383634,Austin Motel,111377,Austin,TX
2.5,Fairfield Inn & Suites Austin Northwest,252821,Austin,TX
2.0,Extended Stay America - Austin - Arboretum,108997,Austin,TX
3.0,Hilton Garden Inn Austin North,1176838,Austin,TX
3.0,Homewood Suites by Hilton Austin South / Airport,108976,,
3.0,Staybridge Suites Austin Airport,1025910,Austin,TX
3.5,Casulo Hotel,1571800,Austin,TX
2.0,Super 8 Austin North,109015,Austin,TX
3.5,Hilton Garden Inn Austin Downtown/Convention Center,111397,Austin,TX
2.5,SpringHill Suites Austin Northwest / Arboretum,108972,Austin,TX
2.5,Hampton Inn Austin - North (I-35 & Highway 183),98426,Austin,TX
3.0,Holiday Inn Austin Town Lake,566802,Austin,TX
3.5,Sheraton Austin at the Capitol,98452,Austin,TX
4.0,InterContinental Stephen F. Austin,217734,Austin,TX
3.0,Holiday Inn Austin Midtown,526841,Austin,TX
